2D,3D,4D,answer,type
"In triangle ABC, let D lie on line AB and E lie on line AC. What is the relationship between line DE and line BC?","In tetrahedron ABCD, let E, F, and G lie respectively on edges AB, AC, and AD. What is the relationship between plane EFG and plane BCD?","In 5-cell (4-simplex) ABCDE, let F, G, H, and I lie respectively on edges AB, AC, AD, and AE. What is the relationship between 3D hyperplane FGHI and 3D hyperplane BCDE?",C,2
"In rectangle ABCD, what is the relationship between line BC and line AD?","In rectangular solid ABCD-EFGH, what is the relationship between plane BCGF and plane ADHE?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane BCGF-JKNO and 3D hyperplane ADHE-ILPM?",A,1
"In rectangle ABCD, what is the relationship between line AB and line AC?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane ACEG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABFE-IJKM and 3D hyperplane ACEG-IKMO?",C,1
"In rectangle ABCD, what is the relationship between line AC and line EF?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACEG and plane BCGF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ACEG-IKMO and 3D hyperplane BCGF-JKNO?",D,1
"In triangle ABC, M is the midpoint of BC. What is the relationship between line AM and line BC?","In tetrahedron ABCD, M is the centroid of face BCD. What is the relationship between line AM and plane BCD?","In 5-cell (4-simplex) ABCDE, M is the centroid of tetrahedral facet BCDE. What is the relationship between line AM and 3D hyperplane BCDE?",D,1
"In circle O, AB is a diameter. What is the relationship between line AB and line OA?","In sphere O, AB is a diameter. What is the relationship between line AB and line OA?","In 3-sphere O, AB is a diameter. What is the relationship between line AB and line OA?",A,1
"In triangle ABC, E is the foot of the altitude from B to AC. Do line BE and line AC intersect?","In tetrahedron ABCD, E is the foot of the altitude from B to plane ACD. Do line BE and plane ACD intersect?","In 5-cell (4-simplex) ABCDE, F is the foot of the altitude from B to 3D hyperplane ACDE. Do line BF and 3D hyperplane ACDE intersect?",A,2
"In rectangle ABCD, do lines AB and CD intersect?","In rectangular solid ABCD-EFGH, do planes ABFE and DCGH intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ABFE-IJKM and DCGH-LNOP intersect?",B,2
"In rectangle ABCD, do lines AB and AC intersect?","In rectangular solid ABCD-EFGH, do planes ABFE and ACEG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ABFE-IJKM and ACEG-IKMO intersect?",A,2
"In rectangle ABCD, do lines AD and EF intersect?","In rectangular solid ABCD-EFGH, do planes ADHE and BCGF intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ADHE-ILPM and BCGF-JKNO intersect?",B,2
"In triangle ABC, D is a point not specified to lie on any side. Do lines AB and CD intersect?","In tetrahedron ABCD, E is a point not specified to lie on any face. Do planes ABC and CDE intersect?","In 5-cell (4-simplex) ABCDE, F is a point not specified to lie on any facet. Do 3D hyperplanes ABCD and CDEF intersect?",C,2
"In circle O, AB is a diameter and C is a point on the circle distinct from A and B. Do lines AB and OC intersect?","In sphere O, AB is a diameter and C is a point on the sphere distinct from A and B. Do planes determined by AB and C and by OAB intersect?","In 3-sphere O, AB is a diameter and C and D are points on the 3-sphere. Do 3D hyperplanes ABCD and OABD intersect?",A,2
"In rectangle ABCD, are points A, B, and D collinear?","In rectangular solid ABCD-EFGH, are points A, B, C, and E coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, B, C, D, and E cohyperplanar?",B,3
"In rectangle ABCD, are points A, B, and the intersection point of diagonals AC and BD collinear?","In rectangular solid ABCD-EFGH, are points A, B, E, and F coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, B, E, F, I, J, M, and N cohyperplanar?",A,3
"In triangle ABC, M is the midpoint of AB. Are points A, M, and B collinear?","In tetrahedron ABCD, M and N are the midpoints of AB and AC. Are points A, M, N, and B coplanar?","In 5-cell (4-simplex) ABCDE, M, N, and P are the midpoints of AB, AC, and AD. Are points A, M, N, P, and B cohyperplanar?",A,3
"In triangle ABC, D is a point not specified to lie on any side. Are points A, D, and B collinear?","In tetrahedron ABCD, E is a point not specified to lie on any face. Are points A, E, B, and C coplanar?","In 5-cell (4-simplex) ABCDE, F is a point not specified to lie on any facet. Are points A, F, B, C, and D cohyperplanar?",C,3
"In circle O, AB is a chord and M is its midpoint. Are points A, M, and B collinear?","In sphere O, circle ABC lies on the sphere and M is the center of that circle. Are points A, B, C, and M coplanar?","In 3-sphere O, sphere ABCD lies on the 3-sphere and M is the center of that sphere. Are points A, B, C, D, and M cohyperplanar?",A,3
"In circle O, AB is a diameter and C is a point on the circle not on line AB. Are points A, B, and C collinear?","In sphere O, A and B are endpoints of a diameter and C and D are points on the sphere not all in one plane with A and B. Are points A, B, C, and D coplanar?","In 3-sphere O, A and B are endpoints of a diameter and C, D, and E are points on the 3-sphere not all in one 3D hyperplane with A and B. Are points A, B, C, D, and E cohyperplanar?",B,3
"In rectangle ABCD, what is the relationship between line BD and line BC?","In rectangular solid ABCD-EFGH, what is the relationship between plane BDFH and plane BCGF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane BDFH-JLNP and 3D hyperplane BCGF-JKNO?",C,1
"In triangle ABC, what is the relationship between line AB and line AC?","In tetrahedron ABCD, what is the relationship between plane ABD and plane ACD?","In 5-cell (4-simplex) ABCDE, what is the relationship between 3D hyperplane ABDE and 3D hyperplane ACDE?",C,1
"In circle O, let tangent line t touch the circle at A. Do line t and line OA intersect?","In sphere O, let tangent plane P touch the sphere at A. Do plane P and line OA intersect?","In 3-sphere O, let tangent 3D hyperplane H touch the 3-sphere at A. Do 3D hyperplane H and line OA intersect?",A,2
"In rectangle ABCD, what is the relationship between line AB and line AD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABCD and plane ADHE?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABCD-IJKL and 3D hyperplane ADHE-ILPM?",B,1
"In rectangle ABCD, what is the relationship between line BC and line CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane BCGF and plane CDHG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane BCGF-JKNO and 3D hyperplane CDHG-KLNO?",B,1
"In rectangle ABCD, what is the relationship between line AC and line BC?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACEG and plane BCGF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ACEG-IKMO and 3D hyperplane BCGF-JKNO?",C,1
"In rectangle ABCD, what is the relationship between line BD and line AB?","In rectangular solid ABCD-EFGH, what is the relationship between plane BDFH and plane ABFE?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane BDFH-JLNP and 3D hyperplane ABFE-IJKM?",C,1
"In triangle ABC, E is the foot of the altitude from C to AB. What is the relationship between line CE and line AB?","In tetrahedron ABCD, E is the foot of the altitude from D to plane ABC. What is the relationship between line DE and plane ABC?","In 5-cell (4-simplex) ABCDE, F is the foot of the altitude from E to 3D hyperplane ABCD. What is the relationship between line EF and 3D hyperplane ABCD?",B,1
"In circle O, line t is tangent to circle O at A. What is the relationship between line t and line OA?","In sphere O, plane P is tangent to sphere O at A. What is the relationship between plane P and line OA?","In 3-sphere O, 3D hyperplane H is tangent to 3-sphere O at A. What is the relationship between 3D hyperplane H and line OA?",B,1
"In rectangle ABCD, do lines AD and BC intersect?","In rectangular solid ABCD-EFGH, do planes ADHE and BCGF intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ADHE-ILPM and BCGF-JKNO intersect?",B,2
"In rectangle ABCD, do lines BC and CD intersect?","In rectangular solid ABCD-EFGH, do planes BCGF and CDHG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes BCGF-JKNO and CDHG-KLNO intersect?",A,2
"In rectangle ABCD, do lines AC and BC intersect?","In rectangular solid ABCD-EFGH, do planes ACEG and BCGF intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ACEG-IKMO and BCGF-JKNO intersect?",A,2
"In triangle ABC, F is the foot of the altitude from C to AB. Do line CF and line AB intersect?","In tetrahedron ABCD, F is the foot of the altitude from D to plane ABC. Do line DF and plane ABC intersect?","In 5-cell (4-simplex) ABCDE, G is the foot of the altitude from E to 3D hyperplane ABCD. Do line EG and 3D hyperplane ABCD intersect?",A,2
"In circle O, line l is tangent to circle O at B. Do line l and line OB intersect?","In sphere O, plane Q is tangent to sphere O at B. Do plane Q and line OB intersect?","In 3-sphere O, 3D hyperplane R is tangent to 3-sphere O at B. Do 3D hyperplane R and line OB intersect?",A,2
"In rectangle ABCD, are points A, D, and C collinear?","In rectangular solid ABCD-EFGH, are points A, D, H, and C coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, D, H, E, I, L, P, and C cohyperplanar?",B,3
"In rectangle ABCD, are points B, A, and D collinear?","In rectangular solid ABCD-EFGH, are points B, A, D, and E coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points B, A, D, E, I, J, M, and P cohyperplanar?",A,3
"In triangle ABC, M is the midpoint of BC. Are points B, M, and C collinear?","In tetrahedron ABCD, M, N, and P are the midpoints of BC, BD, and CD. Are points B, M, N, and C coplanar?","In 5-cell (4-simplex) ABCDE, M, N, P, and Q are the midpoints of BC, BD, BE, and CE. Are points B, M, N, P, and C cohyperplanar?",A,3
"In circle O, AB is a chord and M is its midpoint. Are points A, M, and B collinear?","In sphere O, circle ABC lies on the sphere and M is the center of that circle. Are points A, B, M, and C coplanar?","In 3-sphere O, sphere ABCD lies on the 3-sphere and M is the center of that sphere. Are points A, B, C, M, and D cohyperplanar?",A,3
"In rectangle ABCD, let P be the intersection point of diagonals AC and BD. Are points B, P, and D collinear?","In rectangular solid ABCD-EFGH, are points B, D, F, and H coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points B, D, F, H, J, L, N, and P cohyperplanar?",A,3
"In triangle ABC, D is a point not specified to lie on any side. Are points A, C, and D collinear?","In tetrahedron ABCD, E is a point not specified to lie on any face. Are points A, C, D, and E coplanar?","In 5-cell (4-simplex) ABCDE, F is a point not specified to lie on any facet. Are points A, C, D, E, and F cohyperplanar?",C,3
"In circle O, AB is a diameter and C is a point on the circle distinct from A and B. Are points A, C, and B collinear?","In sphere O, A and B are endpoints of a diameter and C and D are points on the sphere. Are points A, C, B, and D coplanar?","In 3-sphere O, A and B are endpoints of a diameter and C, D, and E are points on the 3-sphere. Are points A, C, B, D, and E cohyperplanar?",C,3
"In triangle ABC, N is the midpoint of AC. Are points A, B, and N collinear?","In tetrahedron ABCD, M and N are the midpoints of AC and AD. Are points A, B, M, and N coplanar?","In 5-cell (4-simplex) ABCDE, M, N, and P are the midpoints of AC, AD, and AE. Are points A, B, M, N, and P cohyperplanar?",B,3
"In rectangle ABCD, what is the relationship between line AC and line BD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACEG and plane BDFH?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ACEG-IKMO and 3D hyperplane BDFH-JLNP?",B,1
"In rectangle ABCD, what is the relationship between line AB and line EF, where E is the midpoint of BC and F is the midpoint of CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane EFGH?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABCD-IJKL and 3D hyperplane EFGH-MNOP?",D,1
"In triangle ABC, let M and N be the midpoints of AB and AC. What is the relationship between line MN and line AB?","In tetrahedron ABCD, let M, N, and P be the midpoints of AB, AC, and AD. What is the relationship between plane MNP and plane ABD?","In 5-cell (4-simplex) ABCDE, let M, N, P, and Q be the midpoints of AB, AC, AD, and AE. What is the relationship between 3D hyperplane MNPQ and 3D hyperplane ABDE?",C,1
"In circle O, AB is a chord and M is its midpoint. What is the relationship between line OM and line AB?","In sphere O, circle ABC lies on the sphere and M is the center of that circle. What is the relationship between plane OMC and plane ABC?","In 3-sphere O, sphere ABCD lies on the 3-sphere and M is the center of that sphere. What is the relationship between 3D hyperplane OMCD and 3D hyperplane ABCD?",B,1
"In rectangle ABCD, do lines AC and BD intersect?","In rectangular solid ABCD-EFGH, do planes ACEG and BDFH intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ACEG-IKMO and BDFH-JLNP intersect?",A,2
"In triangle ABC, let M and N be the midpoints of AB and AC. Do lines MN and BC intersect?","In tetrahedron ABCD, let M, N, and P be the midpoints of AB, AC, and AD. Do planes MNP and plane BCD intersect?","In 5-cell (4-simplex) ABCDE, let M, N, P, and Q be the midpoints of AB, AC, AD, and AE. Do 3D hyperplanes MNPQ and 3D hyperplane BCDE intersect?",B,2
"In rectangle ABCD, do lines AD and AC intersect?","In rectangular solid ABCD-EFGH, do planes ADHE and plane ACEG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ADHE-ILPM and 3D hyperplane ACEG-IKMO intersect?",A,2
"In triangle ABC, D is a point not specified to lie on any side. Do lines AD and BC intersect?","In tetrahedron ABCD, E is a point not specified to lie on any face. Do planes ADE and plane BCD intersect?","In 5-cell (4-simplex) ABCDE, F is a point not specified to lie on any facet. Do 3D hyperplanes ADEF and 3D hyperplane BCDE intersect?",C,2
"In circle O, let tangent line t touch the circle at A. Do line t and line AB intersect, where AB is a chord through A?","In sphere O, let tangent plane P touch the sphere at A. Do plane P and plane ABC intersect, where circle ABC lies on the sphere and passes through A?","In 3-sphere O, let tangent 3D hyperplane H touch the 3-sphere at A. Do 3D hyperplane H and 3D hyperplane ABCD intersect, where sphere ABCD lies on the 3-sphere and passes through A?",A,2
"In circle O, AB is a diameter and t is the tangent line at A. Do line AB and line t intersect?","In sphere O, AB is a diameter and P is the tangent plane at A. Do plane OAB and plane P intersect?","In 3-sphere O, AB is a diameter and H is the tangent 3D hyperplane at A. Do 3D hyperplane OABC and 3D hyperplane H intersect?",A,2
"In rectangle ABCD, are points A, C, and the intersection point of diagonals AC and BD collinear?","In rectangular solid ABCD-EFGH, are points A, C, E, and G coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, C, E, G, I, K, M, and O cohyperplanar?",A,3
"In triangle ABC, let M be the midpoint of AB and N the midpoint of AC. Are points M, N, and B collinear?","In tetrahedron ABCD, let M, N, and P be the midpoints of AB, AC, and AD. Are points M, N, P, and B coplanar?","In 5-cell (4-simplex) ABCDE, let M, N, P, and Q be the midpoints of AB, AC, AD, and AE. Are points M, N, P, Q, and B cohyperplanar?",B,3
"In rectangle ABCD, are points A, B, and E collinear, where E is the midpoint of CD?","In rectangular solid ABCD-EFGH, are points A, B, C, and M coplanar, where M is the midpoint of EH?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, B, C, D, and R cohyperplanar, where R is the midpoint of MP?",B,3
"In circle O, is point O on line AB if AB is a chord not specified to be a diameter?","In sphere O, is point O on plane ABC if circle ABC is a circle on the sphere not specified to be great?","In 3-sphere O, is point O on 3D hyperplane ABCD if sphere ABCD is a sphere on the 3-sphere not specified to be great?",C,3
"In rectangle ABCD, what is the relationship between line BC and line EF, where E and F are the midpoints of AB and CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane BCGF and plane EFGH, where E and F are vertices of the standard labeling?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane BCGF-JKNO and 3D hyperplane EFGH-MNOP?",C,1
"In triangle ABC, let D be the foot of the altitude from A to BC. What is the relationship between line AD and line AB?","In tetrahedron ABCD, let E be the foot of the altitude from A to plane BCD. What is the relationship between line AE and plane ABC?","In 5-cell (4-simplex) ABCDE, let F be the foot of the altitude from A to 3D hyperplane BCDE. What is the relationship between line AF and 3D hyperplane ABCD?",C,1
"In circle O, AB is a diameter and t is the tangent line at B. What is the relationship between line AB and line t?","In sphere O, AB is a diameter and P is the tangent plane at B. What is the relationship between plane OAB and plane P?","In 3-sphere O, AB is a diameter and H is the tangent 3D hyperplane at B. What is the relationship between 3D hyperplane OABC and 3D hyperplane H?",B,1
"In rectangle ABCD, do lines AB and EF intersect, where E is the midpoint of BC and F is the midpoint of CD?","In rectangular solid ABCD-EFGH, do planes ABFE and plane EFGH intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ABCD-IJKL and 3D hyperplane EFGH-MNOP intersect?",A,2
"In circle O, AB is a chord and M is its midpoint. Do lines OM and AB intersect?","In sphere O, circle ABC lies on the sphere and M is the center of that circle. Do planes OMC and plane ABC intersect?","In 3-sphere O, sphere ABCD lies on the 3-sphere and M is the center of that sphere. Do 3D hyperplanes OMCD and 3D hyperplane ABCD intersect?",A,2
"In rectangle ABCD, what is the relationship between line AB and line CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane CDHG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABFE-IJKM and 3D hyperplane CDHG-KLPO?",A,1
"In rectangle ABCD, what is the relationship between line AB and line BC?","In rectangular solid ABCD-EFGH, what is the relationship between plane ABFE and plane BCGF?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ABFE-IJKM and 3D hyperplane BCGF-JKNO?",B,1
"In rectangle ABCD, what is the relationship between line AC and line CD?","In rectangular solid ABCD-EFGH, what is the relationship between plane ACEG and plane CDHG?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), what is the relationship between 3D hyperplane ACEG-IKMO and 3D hyperplane CDHG-KLPO?",C,1
"In triangle ABC, M is the midpoint of BC. What is the relationship between line AM and line BC?","In tetrahedron ABCD, triangle BCD is the base and AM is the altitude from A to plane BCD. What is the relationship between line AM and plane BCD?","In 5-cell (4-simplex) ABCDE, tetrahedron BCDE is the base and AM is the altitude from A to 3D hyperplane BCDE. What is the relationship between line AM and 3D hyperplane BCDE?",B,1
"In circle O, line t is tangent to circle O at A. What is the relationship between line t and line AB, where AB is a chord through A?","In sphere O, plane P is tangent to sphere O at A. What is the relationship between plane P and plane ABC, where circle ABC lies on the sphere and passes through A?","In 3-sphere O, 3D hyperplane H is tangent to 3-sphere O at A. What is the relationship between 3D hyperplane H and 3D hyperplane ABCD, where sphere ABCD lies on the 3-sphere and passes through A?",C,1
"In triangle ABC, let M and N be the midpoints of AB and AC. What is the relationship between line MN and line AC?","In tetrahedron ABCD, let M, N, and P be the midpoints of AB, AC, and AD. What is the relationship between plane MNP and plane ACD?","In 5-cell (4-simplex) ABCDE, let M, N, P, and Q be the midpoints of AB, AC, AD, and AE. What is the relationship between 3D hyperplane MNPQ and 3D hyperplane ACDE?",D,1
"In rectangle ABCD, do lines AB and CD intersect?","In rectangular solid ABCD-EFGH, do planes ABFE and plane CDHG intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ABFE-IJKM and CDHG-KLPO intersect?",B,2
"In rectangle ABCD, do lines AB and BC intersect?","In rectangular solid ABCD-EFGH, do planes ABFE and plane BCGF intersect?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), do 3D hyperplanes ABFE-IJKM and BCGF-JKNO intersect?",A,2
"In triangle ABC, N is the midpoint of AC. Do lines BN and AC intersect?","In tetrahedron ABCD, M and N are the midpoints of AC and AD. Do plane BMN and plane ACD intersect?","In 5-cell (4-simplex) ABCDE, M, N, and P are the midpoints of AC, AD, and AE. Do 3D hyperplane BMNP and 3D hyperplane ACDE intersect?",A,2
"In circle O, AB is a diameter and t is the tangent line at A. Do line t and line OB intersect?","In sphere O, AB is a diameter and plane P is the tangent plane at A. Do plane P and line OB intersect?","In 3-sphere O, AB is a diameter and 3D hyperplane H is the tangent 3D hyperplane at A. Do 3D hyperplane H and line OB intersect?",B,2
"In triangle ABC, P is a point not specified to lie on any side. Do lines AP and BC intersect?","In tetrahedron ABCD, P is a point not specified to lie on any face. Do planes ABP and plane BCD intersect?","In 5-cell (4-simplex) ABCDE, P is a point not specified to lie on any facet. Do 3D hyperplane ABCP and 3D hyperplane BCDE intersect?",C,2
"In circle O, AB is a chord not specified to be a diameter. Let t be the tangent line at A. Do line t and line OB intersect?","In sphere O, circle ABC lies on the sphere and is not specified to be great. Let plane P be the tangent plane at A. Do plane P and line OB intersect?","In 3-sphere O, sphere ABCD lies on the 3-sphere and is not specified to be great. Let 3D hyperplane H be the tangent 3D hyperplane at A. Do 3D hyperplane H and line OB intersect?",C,2
"In rectangle ABCD, are points A, B, and C collinear?","In rectangular solid ABCD-EFGH, are points A, B, C, and D coplanar?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, B, C, D, E, F, G, and H cohyperplanar?",B,3
"In rectangle ABCD, are points A, P, and C collinear, where P is the intersection point of diagonals AC and BD?","In rectangular solid ABCD-EFGH, are points A, P, C, and G coplanar, where P is the center of the solid?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), are points A, P, C, G, I, K, M, and O cohyperplanar, where P is the center of the tesseract?",A,3
"In triangle ABC, let M be the midpoint of AB. Are points A, M, and C collinear?","In tetrahedron ABCD, let M and N be the midpoints of AB and AC. Are points A, M, N, and D coplanar?","In 5-cell (4-simplex) ABCDE, let M, N, and P be the midpoints of AB, AC, and AD. Are points A, M, N, P, and E cohyperplanar?",B,3
"In circle O, is point O on line AB if AB is a diameter?","In sphere O, is point O in plane ABC if circle ABC is a great circle?","In 3-sphere O, is point O in 3D hyperplane ABCD if sphere ABCD is a great sphere?",A,3
"In rectangle ABCD, is point P on line AB, where P is the intersection point of diagonals AC and BD?","In rectangular solid ABCD-EFGH, is point P in plane ABCD, where P is the center of the solid?","In tesseract (ABCD-EFGH)-(IJKL-MNOP), is point P in 3D hyperplane ABCD-IJKL, where P is the center of the tesseract?",C,3
"In triangle ABC, are points A, B, and D collinear, where D is a point not specified to lie on any side?","In tetrahedron ABCD, are points A, B, C, and E coplanar, where E is a point not specified to lie on any face?","In 5-cell (4-simplex) ABCDE, are points A, B, C, D, and F cohyperplanar, where F is a point not specified to lie on any facet?",C,3
"In circle O, are points A, O, and B collinear if AB is a chord not specified to be a diameter?","In sphere O, are points A, O, B, and C coplanar if circle ABC lies on the sphere but is not specified to be great?","In 3-sphere O, are points A, O, B, C, and D cohyperplanar if sphere ABCD lies on the 3-sphere but is not specified to be great?",C,3
