2D,3D,4D,answer,type,aug_source_id,aug_map
-,"In rectangular solid GHJK-LMIN, GH=5. What is the relationship between line GH and line IN?","In tesseract (GHJK-LMIN)-(PQRW-OABE), GH=5. What is the relationship between line GH and line IN?",A,1,1,"A->G,B->H,E->J,F->K,G->L,H->M,J->N,K->P,L->Q,M->R,N->W,P->A,Q->B,R->E,W->F"
-,"In rectangular solid BAEF-GHIJ, BA=5. What is the relationship between line BA and line IJ?","In tesseract (BAEF-GHIJ)-(KLMN-OPQR), BA=5. What is the relationship between line BA and line IJ?",A,1,1,"A->B,B->A,E->E,F->F,G->G,H->H,J->J,K->K,L->L,M->M,N->N,P->P,Q->Q,R->R,W->W"
-,-,"In tesseract (ABEF-GHIJ)-(KLMN-OPQR), AB=5. What is the relationship between line AB and line QR?",A,1,2,
-,-,"In tesseract (BEFG-HJIK)-(LMNP-OQRW), BE=5. What is the relationship between line BE and line RW?",A,1,2,"A->B,B->E,E->F,F->G,G->H,H->J,J->K,K->L,L->M,M->N,N->P,P->Q,Q->R,R->W,W->A"
-,-,"In tesseract (EFGH-JKIL)-(MNPQ-ORWA), EF=5. What is the relationship between line EF and line WA?",A,1,2,"A->E,B->F,E->G,F->H,G->J,H->K,J->L,K->M,L->N,M->P,N->Q,P->R,Q->W,R->A,W->B"
-,-,"In tesseract (FGHJ-KLIM)-(NPQR-OWAB), FG=5. What is the relationship between line FG and line AB?",A,1,2,"A->F,B->G,E->H,F->J,G->K,H->L,J->M,K->N,L->P,M->Q,N->R,P->W,Q->A,R->B,W->E"
-,-,"In tesseract (GHJK-LMIN)-(PQRW-OABE), GH=5. What is the relationship between line GH and line BE?",A,1,2,"A->G,B->H,E->J,F->K,G->L,H->M,J->N,K->P,L->Q,M->R,N->W,P->A,Q->B,R->E,W->F"
-,-,"In tesseract (BAEF-GHIJ)-(KLMN-OPQR), BA=5. What is the relationship between line BA and line QR?",A,1,2,"A->B,B->A,E->E,F->F,G->G,H->H,J->J,K->K,L->L,M->M,N->N,P->P,Q->Q,R->R,W->W"
-,"In rectangular solid ABEF-GHIJ, AB=5. What is the relationship between line AB and plane GHI?","In tesseract (ABEF-GHIJ)-(KLMN-OPQR), AB=5. What is the relationship between line AB and 3D hyperplane GHIO?",A,1,3,
-,"In rectangular solid BDFG-HJIK, BD=5. What is the relationship between line BD and plane HJI?","In tesseract (BDFG-HJIK)-(LMNP-OQRW), BD=5. What is the relationship between line BD and 3D hyperplane HJIO?",A,1,3,"A->B,B->D,D->E,E->F,F->G,G->H,H->J,J->K,K->L,L->M,M->N,N->P,P->Q,Q->R,R->W,W->A"
-,"In rectangular solid DEGH-JKIL, DE=5. What is the relationship between line DE and plane JKI?","In tesseract (DEGH-JKIL)-(MNPQ-ORWA), DE=5. What is the relationship between line DE and 3D hyperplane JKIO?",A,1,3,"A->D,B->E,D->F,E->G,F->H,G->J,H->K,J->L,K->M,L->N,M->P,N->Q,P->R,Q->W,R->A,W->B"
-,"In rectangular solid EFHJ-KLIM, EF=5. What is the relationship between line EF and plane KLI?","In tesseract (EFHJ-KLIM)-(NPQR-OWAB), EF=5. What is the relationship between line EF and 3D hyperplane KLIO?",A,1,3,"A->E,B->F,D->G,E->H,F->J,G->K,H->L,J->M,K->N,L->P,M->Q,N->R,P->W,Q->A,R->B,W->D"
-,"In rectangular solid FGJK-LMIN, FG=5. What is the relationship between line FG and plane LMI?","In tesseract (FGJK-LMIN)-(PQRW-OABD), FG=5. What is the relationship between line FG and 3D hyperplane LMIO?",A,1,3,"A->F,B->G,D->H,E->J,F->K,G->L,H->M,J->N,K->P,L->Q,M->R,N->W,P->A,Q->B,R->D,W->E"
-,"In rectangular solid BAEF-GHIJ, BA=5. What is the relationship between line BA and plane GHI?","In tesseract (BAEF-GHIJ)-(KLMN-OPQR), BA=5. What is the relationship between line BA and 3D hyperplane GHIO?",A,1,3,"A->B,B->A,D->D,E->E,F->F,G->G,H->H,J->J,K->K,L->L,M->M,N->N,P->P,Q->Q,R->R,W->W"
"In rectangle ABEF, AB=5. What is the relationship between line AB and line BE?","In rectangular solid ABEF-GHIJ, AB=5. What is the relationship between line AB and line BE?","In tesseract (ABEF-GHIJ)-(KLMN-OPQR), AB=5. What is the relationship between line AB and line BE?",B,1,4,
"In rectangle BEFG, BE=5. What is the relationship between line BE and line EF?","In rectangular solid BEFG-HJIK, BE=5. What is the relationship between line BE and line EF?","In tesseract (BEFG-HJIK)-(LMNP-OQRW), BE=5. What is the relationship between line BE and line EF?",B,1,4,"A->B,B->E,E->F,F->G,G->H,H->J,J->K,K->L,L->M,M->N,N->P,P->Q,Q->R,R->W,W->A"
"In rectangle EFGH, EF=5. What is the relationship between line EF and line FG?","In rectangular solid EFGH-JKIL, EF=5. What is the relationship between line EF and line FG?","In tesseract (EFGH-JKIL)-(MNPQ-ORWA), EF=5. What is the relationship between line EF and line FG?",B,1,4,"A->E,B->F,E->G,F->H,G->J,H->K,J->L,K->M,L->N,M->P,N->Q,P->R,Q->W,R->A,W->B"
"In rectangle FGHJ, FG=5. What is the relationship between line FG and line GH?","In rectangular solid FGHJ-KLIM, FG=5. What is the relationship between line FG and line GH?","In tesseract (FGHJ-KLIM)-(NPQR-OWAB), FG=5. What is the relationship between line FG and line GH?",B,1,4,"A->F,B->G,E->H,F->J,G->K,H->L,J->M,K->N,L->P,M->Q,N->R,P->W,Q->A,R->B,W->E"
"In rectangle GHJK, GH=5. What is the relationship between line GH and line HJ?","In rectangular solid GHJK-LMIN, GH=5. What is the relationship between line GH and line HJ?","In tesseract (GHJK-LMIN)-(PQRW-OABE), GH=5. What is the relationship between line GH and line HJ?",B,1,4,"A->G,B->H,E->J,F->K,G->L,H->M,J->N,K->P,L->Q,M->R,N->W,P->A,Q->B,R->E,W->F"
"In rectangle BAEF, BA=5. What is the relationship between line BA and line AE?","In rectangular solid BAEF-GHIJ, BA=5. What is the relationship between line BA and line AE?","In tesseract (BAEF-GHIJ)-(KLMN-OPQR), BA=5. What is the relationship between line BA and line AE?",B,1,4,"A->B,B->A,E->E,F->F,G->G,H->H,J->J,K->K,L->L,M->M,N->N,P->P,Q->Q,R->R,W->W"
-,"In rectangular solid ABEF-GHIJ, AB=5. What is the relationship between line AB and line HI?","In tesseract (ABEF-GHIJ)-(KLMN-OPQR), AB=5. What is the relationship between line AB and line HI?",B,1,5,
-,"In rectangular solid BEFG-HJIK, BE=5. What is the relationship between line BE and line JI?","In tesseract (BEFG-HJIK)-(LMNP-OQRW), BE=5. What is the relationship between line BE and line JI?",B,1,5,"A->B,B->E,E->F,F->G,G->H,H->J,J->K,K->L,L->M,M->N,N->P,P->Q,Q->R,R->W,W->A"
-,"In rectangular solid EFGH-JKIL, EF=5. What is the relationship between line EF and line KI?","In tesseract (EFGH-JKIL)-(MNPQ-ORWA), EF=5. What is the relationship between line EF and line KI?",B,1,5,"A->E,B->F,E->G,F->H,G->J,H->K,J->L,K->M,L->N,M->P,N->Q,P->R,Q->W,R->A,W->B"
-,"In rectangular solid FGHJ-KLIM, FG=5. What is the relationship between line FG and line LI?","In tesseract (FGHJ-KLIM)-(NPQR-OWAB), FG=5. What is the relationship between line FG and line LI?",B,1,5,"A->F,B->G,E->H,F->J,G->K,H->L,J->M,K->N,L->P,M->Q,N->R,P->W,Q->A,R->B,W->E"
-,"In rectangular solid GHJK-LMIN, GH=5. What is the relationship between line GH and line MI?","In tesseract (GHJK-LMIN)-(PQRW-OABE), GH=5. What is the relationship between line GH and line MI?",B,1,5,"A->G,B->H,E->J,F->K,G->L,H->M,J->N,K->P,L->Q,M->R,N->W,P->A,Q->B,R->E,W->F"
-,"In rectangular solid BAEF-GHIJ, BA=5. What is the relationship between line BA and line HI?","In tesseract (BAEF-GHIJ)-(KLMN-OPQR), BA=5. What is the relationship between line BA and line HI?",B,1,5,"A->B,B->A,E->E,F->F,G->G,H->H,J->J,K->K,L->L,M->M,N->N,P->P,Q->Q,R->R,W->W"
-,-,"In tesseract (ABEF-GHIJ)-(KLMN-OPQR), AB=5. What is the relationship between line AB and line PQ?",B,1,6,
-,-,"In tesseract (BEFG-HJIK)-(LMNP-OQRW), BE=5. What is the relationship between line BE and line QR?",B,1,6,"A->B,B->E,E->F,F->G,G->H,H->J,J->K,K->L,L->M,M->N,N->P,P->Q,Q->R,R->W,W->A"
-,-,"In tesseract (EFGH-JKIL)-(MNPQ-ORWA), EF=5. What is the relationship between line EF and line RW?",B,1,6,"A->E,B->F,E->G,F->H,G->J,H->K,J->L,K->M,L->N,M->P,N->Q,P->R,Q->W,R->A,W->B"
-,-,"In tesseract (FGHJ-KLIM)-(NPQR-OWAB), FG=5. What is the relationship between line FG and line WA?",B,1,6,"A->F,B->G,E->H,F->J,G->K,H->L,J->M,K->N,L->P,M->Q,N->R,P->W,Q->A,R->B,W->E"
-,-,"In tesseract (GHJK-LMIN)-(PQRW-OABE), GH=5. What is the relationship between line GH and line AB?",B,1,6,"A->G,B->H,E->J,F->K,G->L,H->M,J->N,K->P,L->Q,M->R,N->W,P->A,Q->B,R->E,W->F"
-,-,"In tesseract (BAEF-GHIJ)-(KLMN-OPQR), BA=5. What is the relationship between line BA and line PQ?",B,1,6,"A->B,B->A,E->E,F->F,G->G,H->H,J->J,K->K,L->L,M->M,N->N,P->P,Q->Q,R->R,W->W"
-,"In rectangular solid ABEF-GHIJ, AB=5. What is the relationship between line AB and plane BEH?","In tesseract (ABEF-GHIJ)-(KLMN-OPQR), AB=5. What is the relationship between line AB and 3D hyperplane BEHL?",B,1,7,
-,"In rectangular solid BDFG-HJIK, BD=5. What is the relationship between line BD and plane DFJ?","In tesseract (BDFG-HJIK)-(LMNP-OQRW), BD=5. What is the relationship between line BD and 3D hyperplane DFJM?",B,1,7,"A->B,B->D,D->E,E->F,F->G,G->H,H->J,J->K,K->L,L->M,M->N,N->P,P->Q,Q->R,R->W,W->A"
-,"In rectangular solid DEGH-JKIL, DE=5. What is the relationship between line DE and plane EGK?","In tesseract (DEGH-JKIL)-(MNPQ-ORWA), DE=5. What is the relationship between line DE and 3D hyperplane EGKN?",B,1,7,"A->D,B->E,D->F,E->G,F->H,G->J,H->K,J->L,K->M,L->N,M->P,N->Q,P->R,Q->W,R->A,W->B"
-,"In rectangular solid EFHJ-KLIM, EF=5. What is the relationship between line EF and plane FHL?","In tesseract (EFHJ-KLIM)-(NPQR-OWAB), EF=5. What is the relationship between line EF and 3D hyperplane FHLP?",B,1,7,"A->E,B->F,D->G,E->H,F->J,G->K,H->L,J->M,K->N,L->P,M->Q,N->R,P->W,Q->A,R->B,W->D"
-,"In rectangular solid FGJK-LMIN, FG=5. What is the relationship between line FG and plane GJM?","In tesseract (FGJK-LMIN)-(PQRW-OABD), FG=5. What is the relationship between line FG and 3D hyperplane GJMQ?",B,1,7,"A->F,B->G,D->H,E->J,F->K,G->L,H->M,J->N,K->P,L->Q,M->R,N->W,P->A,Q->B,R->D,W->E"
-,"In rectangular solid BAEF-GHIJ, BA=5. What is the relationship between line BA and plane AEH?","In tesseract (BAEF-GHIJ)-(KLMN-OPQR), BA=5. What is the relationship between line BA and 3D hyperplane AEHL?",B,1,7,"A->B,B->A,D->D,E->E,F->F,G->G,H->H,J->J,K->K,L->L,M->M,N->N,P->P,Q->Q,R->R,W->W"
Lines AB and EF are both perpendicular to CD. What is the relationship between line AB and line EF?,Planes ABG and EFH are both perpendicular to line CD. What is the relationship between plane ABG and plane EFH?,"In a 4-dimensional space, 3D hyperplane ABGH and EFIJ are both perpendicular to line CD. What is the relationship between hyperplane ABGH and hyperplane EFIJ?",A,1,8,
Lines BC and FG are both perpendicular to DE. What is the relationship between line BC and line FG?,Planes BCH and FGJ are both perpendicular to line DE. What is the relationship between plane BCH and plane FGJ?,"In a 4-dimensional space, 3D hyperplane BCHJ and FGIL are both perpendicular to line DE. What is the relationship between hyperplane BCHJ and hyperplane FGIL?",A,1,8,"A->B,B->C,C->D,D->E,E->F,F->G,G->H,H->J,J->L,L->P,P->W,W->A"
Lines CD and GH are both perpendicular to EF. What is the relationship between line CD and line GH?,Planes CDJ and GHL are both perpendicular to line EF. What is the relationship between plane CDJ and plane GHL?,"In a 4-dimensional space, 3D hyperplane CDJL and GHIP are both perpendicular to line EF. What is the relationship between hyperplane CDJL and hyperplane GHIP?",A,1,8,"A->C,B->D,C->E,D->F,E->G,F->H,G->J,H->L,J->P,L->W,P->A,W->B"
Lines DE and HJ are both perpendicular to FG. What is the relationship between line DE and line HJ?,Planes DEL and HJP are both perpendicular to line FG. What is the relationship between plane DEL and plane HJP?,"In a 4-dimensional space, 3D hyperplane DELP and HJIW are both perpendicular to line FG. What is the relationship between hyperplane DELP and hyperplane HJIW?",A,1,8,"A->D,B->E,C->F,D->G,E->H,F->J,G->L,H->P,J->W,L->A,P->B,W->C"
Lines EF and JL are both perpendicular to GH. What is the relationship between line EF and line JL?,Planes EFP and JLW are both perpendicular to line GH. What is the relationship between plane EFP and plane JLW?,"In a 4-dimensional space, 3D hyperplane EFPW and JLIA are both perpendicular to line GH. What is the relationship between hyperplane EFPW and hyperplane JLIA?",A,1,8,"A->E,B->F,C->G,D->H,E->J,F->L,G->P,H->W,J->A,L->B,P->C,W->D"
Lines BA and EF are both perpendicular to CD. What is the relationship between line BA and line EF?,Planes BAG and EFH are both perpendicular to line CD. What is the relationship between plane BAG and plane EFH?,"In a 4-dimensional space, 3D hyperplane BAGH and EFIJ are both perpendicular to line CD. What is the relationship between hyperplane BAGH and hyperplane EFIJ?",A,1,8,"A->B,B->A,C->C,D->D,E->E,F->F,G->G,H->H,J->J,L->L,P->P,W->W"
Lines AB and EF are both perpendicular to CD. What is the relationship between line AB and line EF?,Lines AB and EF are both perpendicular to plane CDG. What is the relationship between line AB and line EF?,"In a 4-dimensional space, Lines AB and EF are both perpendicular to 3D hyperplane CDGH. What is the relationship between line AB and line EF?",A,1,9,
Lines BC and FG are both perpendicular to DE. What is the relationship between line BC and line FG?,Lines BC and FG are both perpendicular to plane DEH. What is the relationship between line BC and line FG?,"In a 4-dimensional space, Lines BC and FG are both perpendicular to 3D hyperplane DEHL. What is the relationship between line BC and line FG?",A,1,9,"A->B,B->C,C->D,D->E,E->F,F->G,G->H,H->L,L->W,W->A"
Lines CD and GH are both perpendicular to EF. What is the relationship between line CD and line GH?,Lines CD and GH are both perpendicular to plane EFL. What is the relationship between line CD and line GH?,"In a 4-dimensional space, Lines CD and GH are both perpendicular to 3D hyperplane EFLW. What is the relationship between line CD and line GH?",A,1,9,"A->C,B->D,C->E,D->F,E->G,F->H,G->L,H->W,L->A,W->B"
Lines DE and HL are both perpendicular to FG. What is the relationship between line DE and line HL?,Lines DE and HL are both perpendicular to plane FGW. What is the relationship between line DE and line HL?,"In a 4-dimensional space, Lines DE and HL are both perpendicular to 3D hyperplane FGWA. What is the relationship between line DE and line HL?",A,1,9,"A->D,B->E,C->F,D->G,E->H,F->L,G->W,H->A,L->B,W->C"
Lines EF and LW are both perpendicular to GH. What is the relationship between line EF and line LW?,Lines EF and LW are both perpendicular to plane GHA. What is the relationship between line EF and line LW?,"In a 4-dimensional space, Lines EF and LW are both perpendicular to 3D hyperplane GHAB. What is the relationship between line EF and line LW?",A,1,9,"A->E,B->F,C->G,D->H,E->L,F->W,G->A,H->B,L->C,W->D"
Lines BA and EF are both perpendicular to CD. What is the relationship between line BA and line EF?,Lines BA and EF are both perpendicular to plane CDG. What is the relationship between line BA and line EF?,"In a 4-dimensional space, Lines BA and EF are both perpendicular to 3D hyperplane CDGH. What is the relationship between line BA and line EF?",A,1,9,"A->B,B->A,C->C,D->D,E->E,F->F,G->G,H->H,L->L,W->W"
Line AB and line EF lie in the same plane and are non-intersecting. What is the relationship between line AB and line EF?,Plane ABC and plane EFG lie in the same 3-dimensional space and are non-intersecting. What is the relationship between plane ABC and plane EFG ?,3D hyperplane ABCD and plane EFGH lie in the same 4-dimensional space and are non-intersecting. What is the relationship between 3D hyperplane ABCD and 3D hyperplane EFGH?,A,1,10,
Line BC and line FG lie in the same plane and are non-intersecting. What is the relationship between line BC and line FG?,Plane BCD and plane FGH lie in the same 3-dimensional space and are non-intersecting. What is the relationship between plane BCD and plane FGH ?,3D hyperplane BCDE and plane FGHL lie in the same 4-dimensional space and are non-intersecting. What is the relationship between 3D hyperplane BCDE and 3D hyperplane FGHL?,A,1,10,"A->B,B->C,C->D,D->E,E->F,F->G,G->H,H->L,L->P,P->W,W->A"
Line CD and line GH lie in the same plane and are non-intersecting. What is the relationship between line CD and line GH?,Plane CDE and plane GHL lie in the same 3-dimensional space and are non-intersecting. What is the relationship between plane CDE and plane GHL ?,3D hyperplane CDEF and plane GHLP lie in the same 4-dimensional space and are non-intersecting. What is the relationship between 3D hyperplane CDEF and 3D hyperplane GHLP?,A,1,10,"A->C,B->D,C->E,D->F,E->G,F->H,G->L,H->P,L->W,P->A,W->B"
Line DE and line HL lie in the same plane and are non-intersecting. What is the relationship between line DE and line HL?,Plane DEF and plane HLP lie in the same 3-dimensional space and are non-intersecting. What is the relationship between plane DEF and plane HLP ?,3D hyperplane DEFG and plane HLPW lie in the same 4-dimensional space and are non-intersecting. What is the relationship between 3D hyperplane DEFG and 3D hyperplane HLPW?,A,1,10,"A->D,B->E,C->F,D->G,E->H,F->L,G->P,H->W,L->A,P->B,W->C"
Line EF and line LP lie in the same plane and are non-intersecting. What is the relationship between line EF and line LP?,Plane EFG and plane LPW lie in the same 3-dimensional space and are non-intersecting. What is the relationship between plane EFG and plane LPW ?,3D hyperplane EFGH and plane LPWA lie in the same 4-dimensional space and are non-intersecting. What is the relationship between 3D hyperplane EFGH and 3D hyperplane LPWA?,A,1,10,"A->E,B->F,C->G,D->H,E->L,F->P,G->W,H->A,L->B,P->C,W->D"
Line BA and line EF lie in the same plane and are non-intersecting. What is the relationship between line BA and line EF?,Plane BAC and plane EFG lie in the same 3-dimensional space and are non-intersecting. What is the relationship between plane BAC and plane EFG ?,3D hyperplane BACD and plane EFGH lie in the same 4-dimensional space and are non-intersecting. What is the relationship between 3D hyperplane BACD and 3D hyperplane EFGH?,A,1,10,"A->B,B->A,C->C,D->D,E->E,F->F,G->G,H->H,L->L,P->P,W->W"
"In triangle ABC, E and F are the midpoints of AC and BC respectively. What is the relationship between line AB and line EF?","In triangular pyramid ABCD, E, F and G are the midpoints of AD, BD and CD respectively. What is the relationship between plane ABC and plane EFG?","In 5-cell ABCDE, F, G, H and I are the midpoints of AE, BE, CE and DE respectively. What is the relationship between 3D hyperplane ABCD and 3D hyperplane FGHI?",A,1,11,
"In triangle BCD, F and G are the midpoints of BD and CD respectively. What is the relationship between line BC and line FG?","In triangular pyramid BCDE, F, G and H are the midpoints of BE, CE and DE respectively. What is the relationship between plane BCD and plane FGH?","In 5-cell BCDEF, G, H, W and I are the midpoints of BF, CF, DF and EF respectively. What is the relationship between 3D hyperplane BCDE and 3D hyperplane GHWI?",A,1,11,"A->B,B->C,C->D,D->E,E->F,F->G,G->H,H->W,W->A"
"In triangle CDE, G and H are the midpoints of CE and DE respectively. What is the relationship between line CD and line GH?","In triangular pyramid CDEF, G, H and W are the midpoints of CF, DF and EF respectively. What is the relationship between plane CDE and plane GHW?","In 5-cell CDEFG, H, W, A and I are the midpoints of CG, DG, EG and FG respectively. What is the relationship between 3D hyperplane CDEF and 3D hyperplane HWAI?",A,1,11,"A->C,B->D,C->E,D->F,E->G,F->H,G->W,H->A,W->B"
"In triangle DEF, H and W are the midpoints of DF and EF respectively. What is the relationship between line DE and line HW?","In triangular pyramid DEFG, H, W and A are the midpoints of DG, EG and FG respectively. What is the relationship between plane DEF and plane HWA?","In 5-cell DEFGH, W, A, B and I are the midpoints of DH, EH, FH and GH respectively. What is the relationship between 3D hyperplane DEFG and 3D hyperplane WABI?",A,1,11,"A->D,B->E,C->F,D->G,E->H,F->W,G->A,H->B,W->C"
"In triangle EFG, W and A are the midpoints of EG and FG respectively. What is the relationship between line EF and line WA?","In triangular pyramid EFGH, W, A and B are the midpoints of EH, FH and GH respectively. What is the relationship between plane EFG and plane WAB?","In 5-cell EFGHW, A, B, C and I are the midpoints of EW, FW, GW and HW respectively. What is the relationship between 3D hyperplane EFGH and 3D hyperplane ABCI?",A,1,11,"A->E,B->F,C->G,D->H,E->W,F->A,G->B,H->C,W->D"
"In triangle BAC, E and F are the midpoints of BC and AC respectively. What is the relationship between line BA and line EF?","In triangular pyramid BACD, E, F and G are the midpoints of BD, AD and CD respectively. What is the relationship between plane BAC and plane EFG?","In 5-cell BACDE, F, G, H and I are the midpoints of BE, AE, CE and DE respectively. What is the relationship between 3D hyperplane BACD and 3D hyperplane FGHI?",A,1,11,"A->B,B->A,C->C,D->D,E->E,F->F,G->G,H->H,W->W"
Line AB is perpendicular to line EF. What is the relationship between line AB and line EF?,Plane ABC is perpendicular to line EF. What is the relationship between plane ABC and line EF?,"In a 4-dimensional space, 3D hyperplane ABCD is perpendicular to line EF. What is the relationship between 3D hyperplane ABCD and line EF?",B,1,12,
Line BC is perpendicular to line FL. What is the relationship between line BC and line FL?,Plane BCD is perpendicular to line FL. What is the relationship between plane BCD and line FL?,"In a 4-dimensional space, 3D hyperplane BCDE is perpendicular to line FL. What is the relationship between 3D hyperplane BCDE and line FL?",B,1,12,"A->B,B->C,C->D,D->E,E->F,F->L,L->P,P->W,W->A"
Line CD is perpendicular to line LP. What is the relationship between line CD and line LP?,Plane CDE is perpendicular to line LP. What is the relationship between plane CDE and line LP?,"In a 4-dimensional space, 3D hyperplane CDEF is perpendicular to line LP. What is the relationship between 3D hyperplane CDEF and line LP?",B,1,12,"A->C,B->D,C->E,D->F,E->L,F->P,L->W,P->A,W->B"
Line DE is perpendicular to line PW. What is the relationship between line DE and line PW?,Plane DEF is perpendicular to line PW. What is the relationship between plane DEF and line PW?,"In a 4-dimensional space, 3D hyperplane DEFL is perpendicular to line PW. What is the relationship between 3D hyperplane DEFL and line PW?",B,1,12,"A->D,B->E,C->F,D->L,E->P,F->W,L->A,P->B,W->C"
Line EF is perpendicular to line WA. What is the relationship between line EF and line WA?,Plane EFL is perpendicular to line WA. What is the relationship between plane EFL and line WA?,"In a 4-dimensional space, 3D hyperplane EFLP is perpendicular to line WA. What is the relationship between 3D hyperplane EFLP and line WA?",B,1,12,"A->E,B->F,C->L,D->P,E->W,F->A,L->B,P->C,W->D"
Line BA is perpendicular to line EF. What is the relationship between line BA and line EF?,Plane BAC is perpendicular to line EF. What is the relationship between plane BAC and line EF?,"In a 4-dimensional space, 3D hyperplane BACD is perpendicular to line EF. What is the relationship between 3D hyperplane BACD and line EF?",B,1,12,"A->B,B->A,C->C,D->D,E->E,F->F,L->L,P->P,W->W"
-,Line AB is perpendicular to plane DEF. What is the relationship between line AB and plane DEF?,"In a 4-dimensional space, Line AB is perpendicular to 3D hyperplane CDEF. What is the relationship between line AB and 3D hyperplane CDEF?",B,1,13,
-,Line BC is perpendicular to plane EFL. What is the relationship between line BC and plane EFL?,"In a 4-dimensional space, Line BC is perpendicular to 3D hyperplane DEFL. What is the relationship between line BC and 3D hyperplane DEFL?",B,1,13,"A->B,B->C,C->D,D->E,E->F,F->L,L->W,W->A"
-,Line CD is perpendicular to plane FLW. What is the relationship between line CD and plane FLW?,"In a 4-dimensional space, Line CD is perpendicular to 3D hyperplane EFLW. What is the relationship between line CD and 3D hyperplane EFLW?",B,1,13,"A->C,B->D,C->E,D->F,E->L,F->W,L->A,W->B"
-,Line DE is perpendicular to plane LWA. What is the relationship between line DE and plane LWA?,"In a 4-dimensional space, Line DE is perpendicular to 3D hyperplane FLWA. What is the relationship between line DE and 3D hyperplane FLWA?",B,1,13,"A->D,B->E,C->F,D->L,E->W,F->A,L->B,W->C"
-,Line EF is perpendicular to plane WAB. What is the relationship between line EF and plane WAB?,"In a 4-dimensional space, Line EF is perpendicular to 3D hyperplane LWAB. What is the relationship between line EF and 3D hyperplane LWAB?",B,1,13,"A->E,B->F,C->L,D->W,E->A,F->B,L->C,W->D"
-,Line BA is perpendicular to plane DEF. What is the relationship between line BA and plane DEF?,"In a 4-dimensional space, Line BA is perpendicular to 3D hyperplane CDEF. What is the relationship between line BA and 3D hyperplane CDEF?",B,1,13,"A->B,B->A,C->C,D->D,E->E,F->F,L->L,W->W"
