question,dimension,answer,family
"What is the perimeter of a square with side length 11?",2,44,box
"What is the perimeter of a rectangle with length 2 and width 13?",2,30,box
"What multiple of pi is the circumference of a circle with radius 11?",2,22,circle/sphere
"What is the area of a square with side length 11?",2,121,box
"What is the area of a rectangle with length 2 and width 13?",2,26,box
"What multiple of pi is the area of a circle with radius 11?",2,121,circle/sphere
"What is the perimeter of a square with side length 12?",2,48,box
"What is the perimeter of a rectangle with length 2 and width 14?",2,32,box
"What multiple of pi is the circumference of a circle with radius 12?",2,24,circle/sphere
"What is the area of a square with side length 12?",2,144,box
"What is the area of a rectangle with length 2 and width 14?",2,28,box
"What multiple of pi is the area of a circle with radius 12?",2,144,circle/sphere
"What is the perimeter of a square with side length 13?",2,52,box
"What is the perimeter of a rectangle with length 2 and width 15?",2,34,box
"What multiple of pi is the circumference of a circle with radius 13?",2,26,circle/sphere
"What is the area of a square with side length 13?",2,169,box
"What is the area of a rectangle with length 2 and width 15?",2,30,box
"What multiple of pi is the area of a circle with radius 13?",2,169,circle/sphere
"What is the perimeter of a square with side length 14?",2,56,box
"What is the perimeter of a rectangle with length 2 and width 16?",2,36,box
"What multiple of pi is the circumference of a circle with radius 14?",2,28,circle/sphere
"What is the area of a square with side length 14?",2,196,box
"What is the area of a rectangle with length 2 and width 16?",2,32,box
"What multiple of pi is the area of a circle with radius 14?",2,196,circle/sphere
"What is the perimeter of a square with side length 15?",2,60,box
"What is the perimeter of a rectangle with length 2 and width 17?",2,38,box
"What multiple of pi is the circumference of a circle with radius 15?",2,30,circle/sphere
"What is the area of a square with side length 15?",2,225,box
"What is the area of a rectangle with length 2 and width 17?",2,34,box
"What multiple of pi is the area of a circle with radius 15?",2,225,circle/sphere
"What is the volume of a cube with edge length 1?",3,1,box
"What is the volume of a rectangular prism with length 1, width 1, and height 1?",3,1,box
"What is the volume of a pyramid with base area 12 and height 3?",3,12,simplex/tetra
"What multiple of pi is the surface area of a sphere with radius 1?",3,4,circle/sphere
"What is the surface area of a cube with edge length 1?",3,6,box
"What is the surface area of a rectangular prism with length 1, width 1, and height 1?",3,6,box
"What is the volume of a pyramid with base area 12 and height 6?",3,24,simplex/tetra
"What multiple of pi is the surface area of a sphere with radius 2?",3,16,circle/sphere
"What is the volume of a cube with edge length 2?",3,8,box
"What is the volume of a rectangular prism with length 1, width 1, and height 2?",3,2,box
"What is the volume of a pyramid with base area 12 and height 9?",3,36,simplex/tetra
"What multiple of pi is the surface area of a sphere with radius 3?",3,36,circle/sphere
"What is the surface area of a cube with edge length 2?",3,24,box
"What is the surface area of a rectangular prism with length 1, width 1, and height 2?",3,10,box
"What is the volume of a pyramid with base area 24 and height 3?",3,24,simplex/tetra
"What multiple of pi is the volume of a sphere with radius 3?",3,36,circle/sphere
"What is the volume of a cube with edge length 3?",3,27,box
"What is the volume of a rectangular prism with length 1, width 1, and height 3?",3,3,box
"What is the volume of a pyramid with base area 24 and height 6?",3,48,simplex/tetra
"What multiple of pi is the surface area of a sphere with radius 4?",3,64,circle/sphere
"What is the surface area of a cube with edge length 3?",3,54,box
"What is the surface area of a rectangular prism with length 1, width 1, and height 3?",3,14,box
"What is the volume of a pyramid with base area 24 and height 9?",3,72,simplex/tetra
"What multiple of pi is the surface area of a sphere with radius 5?",3,100,circle/sphere
"What is the volume of a cube with edge length 4?",3,64,box
"What is the volume of a rectangular prism with length 1, width 1, and height 4?",3,4,box
"What is the volume of a pyramid with base area 36 and height 3?",3,36,simplex/tetra
"What multiple of pi is the surface area of a sphere with radius 6?",3,144,circle/sphere
"What is the surface area of a cube with edge length 4?",3,96,box
"What is the surface area of a rectangular prism with length 1, width 1, and height 4?",3,18,box
"What is the volume of a pyramid with base area 36 and height 6?",3,72,simplex/tetra
"What multiple of pi is the volume of a sphere with radius 6?",3,288,circle/sphere
"What is the volume of a cube with edge length 5?",3,125,box
"What is the volume of a rectangular prism with length 1, width 1, and height 5?",3,5,box
"What is the volume of a pyramid with base area 36 and height 9?",3,108,simplex/tetra
"What multiple of pi is the surface area of a sphere with radius 7?",3,196,circle/sphere
"What is the surface area of a cube with edge length 5?",3,150,box
"What is the surface area of a rectangular prism with length 1, width 1, and height 5?",3,22,box
"What is the volume of a pyramid with base area 48 and height 3?",3,48,simplex/tetra
"What multiple of pi is the surface area of a sphere with radius 8?",3,256,circle/sphere
"What is the volume of a cube with edge length 6?",3,216,box
"What is the volume of a rectangular prism with length 1, width 1, and height 6?",3,6,box
"What is the volume of a pyramid with base area 48 and height 6?",3,96,simplex/tetra
"What multiple of pi is the surface area of a sphere with radius 9?",3,324,circle/sphere
"What is the surface area of a cube with edge length 6?",3,216,box
"What is the surface area of a rectangular prism with length 1, width 1, and height 6?",3,26,box
"What is the volume of a pyramid with base area 48 and height 9?",3,144,simplex/tetra
"What multiple of pi is the volume of a sphere with radius 9?",3,972,circle/sphere
"What is the volume of a cube with edge length 7?",3,343,box
"What is the volume of a rectangular prism with length 1, width 1, and height 7?",3,7,box
"What multiple of pi is the surface area of a sphere with radius 10?",3,400,circle/sphere
"What is the surface area of a cube with edge length 7?",3,294,box
"What is the surface area of a rectangular prism with length 1, width 1, and height 7?",3,30,box
"What multiple of pi is the surface area of a sphere with radius 11?",3,484,circle/sphere
"What is the volume of a cube with edge length 8?",3,512,box
"What is the volume of a rectangular prism with length 1, width 1, and height 8?",3,8,box
"What multiple of pi is the surface area of a sphere with radius 12?",3,576,circle/sphere
"What is the surface area of a cube with edge length 8?",3,384,box
"What is the surface area of a rectangular prism with length 1, width 1, and height 8?",3,34,box
"What multiple of pi is the volume of a sphere with radius 12?",3,2304,circle/sphere
"What is the volume of a cube with edge length 9?",3,729,box
"What is the volume of a rectangular prism with length 1, width 1, and height 9?",3,9,box
"What multiple of pi is the surface area of a sphere with radius 13?",3,676,circle/sphere
"What is the surface area of a cube with edge length 9?",3,486,box
"What is the surface area of a rectangular prism with length 1, width 1, and height 9?",3,38,box
"What multiple of pi is the surface area of a sphere with radius 14?",3,784,circle/sphere
"What is the volume of a cube with edge length 10?",3,1000,box
"What is the volume of a rectangular prism with length 1, width 2, and height 2?",3,4,box
"What multiple of pi is the surface area of a sphere with radius 15?",3,900,circle/sphere
"What is the surface area of a cube with edge length 10?",3,600,box
"What is the surface area of a rectangular prism with length 1, width 2, and height 2?",3,16,box
"What multiple of pi is the volume of a sphere with radius 15?",3,4500,circle/sphere
"What is the volume of a cube with edge length 11?",3,1331,box
"What is the length of the space diagonal of a rectangular prism with length 1, width 2, and height 2?",3,3,box
"What multiple of pi is the surface area of a sphere with radius 16?",3,1024,circle/sphere
"What is the surface area of a cube with edge length 11?",3,726,box
"What is the volume of a rectangular prism with length 1, width 2, and height 3?",3,6,box
"What multiple of pi is the surface area of a sphere with radius 17?",3,1156,circle/sphere
"What is the volume of a cube with edge length 12?",3,1728,box
"What is the surface area of a rectangular prism with length 1, width 2, and height 3?",3,22,box
"What multiple of pi is the surface area of a sphere with radius 18?",3,1296,circle/sphere
"What is the surface area of a cube with edge length 12?",3,864,box
"What is the volume of a rectangular prism with length 1, width 2, and height 4?",3,8,box
"What multiple of pi is the volume of a sphere with radius 18?",3,7776,circle/sphere
"What is the volume of a cube with edge length 13?",3,2197,box
"What is the surface area of a rectangular prism with length 1, width 2, and height 4?",3,28,box
"What multiple of pi is the surface area of a sphere with radius 19?",3,1444,circle/sphere
"What is the surface area of a cube with edge length 13?",3,1014,box
"What is the volume of a rectangular prism with length 1, width 2, and height 5?",3,10,box
"What is the volume of a cube with edge length 14?",3,2744,box
"What is the surface area of a rectangular prism with length 1, width 2, and height 5?",3,34,box
"What is the surface area of a cube with edge length 14?",3,1176,box
"What is the volume of a rectangular prism with length 1, width 2, and height 6?",3,12,box
"What is the surface area of a rectangular prism with length 1, width 2, and height 6?",3,40,box
"What is the volume of a rectangular prism with length 1, width 2, and height 7?",3,14,box
"What is the surface area of a rectangular prism with length 1, width 2, and height 7?",3,46,box
"What is the volume of a rectangular prism with length 1, width 2, and height 8?",3,16,box
"What is the surface area of a rectangular prism with length 1, width 2, and height 8?",3,52,box
"What is the volume of a rectangular prism with length 1, width 2, and height 9?",3,18,box
"What is the surface area of a rectangular prism with length 1, width 2, and height 9?",3,58,box
"What is the hyper-volume of a tesseract with edge length 1?",4,1,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 1?",4,1,box
"What is the hyper-volume of a 4-simplex with base volume 24 and height 2?",4,12,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 1?",4,2,circle/sphere
"What is the hyper-surface volume of a tesseract with edge length 1?",4,8,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 1?",4,8,box
"What is the hyper-volume of a 4-simplex with base volume 24 and height 4?",4,24,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 2?",4,16,circle/sphere
"What is the hyper-volume of a tesseract with edge length 2?",4,16,box
"What is the length of the 4D diagonal of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 1?",4,2,box
"What is the hyper-volume of a 4-simplex with base volume 24 and height 6?",4,36,simplex/tetra
"What multiple of pi^2 is the hyper-volume of a 4-ball with radius 2?",4,8,circle/sphere
"What is the hyper-surface volume of a tesseract with edge length 2?",4,64,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 2?",4,2,box
"What is the hyper-volume of a 4-simplex with base volume 24 and height 8?",4,48,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 3?",4,54,circle/sphere
"What is the hyper-volume of a tesseract with edge length 3?",4,81,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 2?",4,14,box
"What is the hyper-volume of a 4-simplex with base volume 48 and height 2?",4,24,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 4?",4,128,circle/sphere
"What is the hyper-surface volume of a tesseract with edge length 3?",4,216,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 3?",4,3,box
"What is the hyper-volume of a 4-simplex with base volume 48 and height 4?",4,48,simplex/tetra
"What multiple of pi^2 is the hyper-volume of a 4-ball with radius 4?",4,128,circle/sphere
"What is the hyper-volume of a tesseract with edge length 4?",4,256,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 3?",4,20,box
"What is the hyper-volume of a 4-simplex with base volume 48 and height 6?",4,72,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 5?",4,250,circle/sphere
"What is the hyper-surface volume of a tesseract with edge length 4?",4,512,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 4?",4,4,box
"What is the hyper-volume of a 4-simplex with base volume 48 and height 8?",4,96,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 6?",4,432,circle/sphere
"What is the hyper-volume of a tesseract with edge length 5?",4,625,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 4?",4,26,box
"What is the hyper-volume of a 4-simplex with base volume 72 and height 2?",4,36,simplex/tetra
"What multiple of pi^2 is the hyper-volume of a 4-ball with radius 6?",4,648,circle/sphere
"What is the hyper-surface volume of a tesseract with edge length 5?",4,1000,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 5?",4,5,box
"What is the hyper-volume of a 4-simplex with base volume 72 and height 4?",4,72,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 7?",4,686,circle/sphere
"What is the hyper-volume of a tesseract with edge length 6?",4,1296,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 1, and depth 5?",4,32,box
"What is the hyper-volume of a 4-simplex with base volume 72 and height 6?",4,108,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 8?",4,1024,circle/sphere
"What is the hyper-surface volume of a tesseract with edge length 6?",4,1728,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 2, and depth 2?",4,4,box
"What is the hyper-volume of a 4-simplex with base volume 72 and height 8?",4,144,simplex/tetra
"What multiple of pi^2 is the hyper-volume of a 4-ball with radius 8?",4,2048,circle/sphere
"What is the hyper-volume of a tesseract with edge length 7?",4,2401,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 2, and depth 2?",4,24,box
"What is the hyper-volume of a 4-simplex with base volume 96 and height 2?",4,48,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 9?",4,1458,circle/sphere
"What is the hyper-surface volume of a tesseract with edge length 7?",4,2744,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 2, and depth 3?",4,6,box
"What is the hyper-volume of a 4-simplex with base volume 96 and height 4?",4,96,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 10?",4,2000,circle/sphere
"What is the hyper-volume of a tesseract with edge length 8?",4,4096,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 2, and depth 3?",4,34,box
"What is the hyper-volume of a 4-simplex with base volume 96 and height 6?",4,144,simplex/tetra
"What multiple of pi^2 is the hyper-volume of a 4-ball with radius 10?",4,5000,circle/sphere
"What is the hyper-surface volume of a tesseract with edge length 8?",4,4096,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 2, and depth 4?",4,8,box
"What is the hyper-volume of a 4-simplex with base volume 96 and height 8?",4,192,simplex/tetra
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 11?",4,2662,circle/sphere
"What is the hyper-volume of a tesseract with edge length 9?",4,6561,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 2, and depth 4?",4,44,box
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 12?",4,3456,circle/sphere
"What is the hyper-surface volume of a tesseract with edge length 9?",4,5832,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 2, and depth 5?",4,10,box
"What multiple of pi^2 is the hyper-volume of a 4-ball with radius 12?",4,10368,circle/sphere
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 2, and depth 5?",4,54,box
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 13?",4,4394,circle/sphere
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 3, and depth 3?",4,9,box
"What multiple of pi^2 is the hyper-surface volume of a 3-sphere with radius 14?",4,5488,circle/sphere
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 3, and depth 3?",4,48,box
"What multiple of pi^2 is the hyper-volume of a 4-ball with radius 14?",4,19208,circle/sphere
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 3, and depth 4?",4,12,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 3, and depth 4?",4,62,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 3, and depth 5?",4,15,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 3, and depth 5?",4,76,box
"What is the length of the 4D diagonal of a rectangular 4-parallelotope with length 1, width 1, height 3, and depth 5?",4,6,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 4, and depth 4?",4,16,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 4, and depth 4?",4,80,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 4, and depth 5?",4,20,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 4, and depth 5?",4,98,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 1, height 5, and depth 5?",4,25,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 1, height 5, and depth 5?",4,120,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 2, height 2, and depth 2?",4,8,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 2, height 2, and depth 2?",4,40,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 2, height 2, and depth 3?",4,12,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 2, height 2, and depth 3?",4,56,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 2, height 2, and depth 4?",4,16,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 2, height 2, and depth 4?",4,72,box
"What is the length of the 4D diagonal of a rectangular 4-parallelotope with length 1, width 2, height 2, and depth 4?",4,5,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 2, height 2, and depth 5?",4,20,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 2, height 2, and depth 5?",4,88,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 2, height 3, and depth 3?",4,18,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 2, height 3, and depth 3?",4,78,box
"What is the hyper-volume of a rectangular 4-parallelotope with length 1, width 2, height 3, and depth 4?",4,24,box
"What is the hyper-surface volume of a rectangular 4-parallelotope with length 1, width 2, height 3, and depth 4?",4,100,box
